"service_id","date","exception_type"
"GO201_1620","20160704","1"
"GO201_1620","20160710","1"
"GO201_1620","20160717","1"
"GO201_1620","20160724","1"
"GO201_1620","20160731","1"
"GO201_1620","20160807","1"
"GO201_1620","20160814","1"
"GO201_1620","20160821","1"
"GO201_1620","20160828","1"
"GO201_1620","20160905","1"
"GO201_1621","20160528","1"
"GO201_1621","20160604","1"
"GO201_1621","20160611","1"
"GO201_1621","20160618","1"
"GO201_1621","20160625","1"
"GO201_1621","20160702","1"
"GO201_1621","20160709","1"
"GO201_1621","20160716","1"
"GO201_1621","20160723","1"
"GO201_1621","20160730","1"
"GO201_1621","20160806","1"
"GO201_1621","20160813","1"
"GO201_1621","20160820","1"
"GO201_1621","20160827","1"
"GO201_1621","20160903","1"
"GO201_1622","20160530","1"
"GO201_1622","20160605","1"
"GO201_1622","20160612","1"
"GO201_1622","20160619","1"
"GO201_1622","20160626","1"
"GO201_1622","20160704","1"
"GO201_1622","20160710","1"
"GO201_1622","20160717","1"
"GO201_1622","20160724","1"
"GO201_1622","20160731","1"
"GO201_1622","20160814","1"
"GO201_1622","20160821","1"
"GO201_1622","20160828","1"
"GO201_1622","20160905","1"
"GO201_1623","20160530","1"
"GO201_1623","20160605","1"
"GO201_1623","20160612","1"
"GO201_1623","20160619","1"
"GO201_1623","20160626","1"
"GO201_1623","20160703","1"
"GO201_1623","20160710","1"
"GO201_1623","20160717","1"
"GO201_1623","20160724","1"
"GO201_1623","20160731","1"
"GO201_1623","20160807","1"
"GO201_1623","20160814","1"
"GO201_1623","20160821","1"
"GO201_1623","20160828","1"
"GO201_1623","20160905","1"
"GO201_1624","20160529","1"
"GO201_1624","20160605","1"
"GO201_1624","20160612","1"
"GO201_1624","20160619","1"
"GO201_1624","20160626","1"
"GO201_1624","20160703","1"
"GO201_1624","20160710","1"
"GO201_1624","20160717","1"
"GO201_1624","20160724","1"
"GO201_1624","20160731","1"
"GO201_1624","20160807","1"
"GO201_1624","20160814","1"
"GO201_1624","20160821","1"
"GO201_1624","20160828","1"
"GO201_1624","20160904","1"
"GO201_1625","20160528","1"
"GO201_1625","20160529","1"
"GO201_1625","20160530","1"
"GO201_1625","20160604","1"
"GO201_1625","20160605","1"
"GO201_1625","20160611","1"
"GO201_1625","20160612","1"
"GO201_1625","20160618","1"
"GO201_1625","20160619","1"
"GO201_1625","20160625","1"
"GO201_1625","20160626","1"
"GO201_1625","20160702","1"
"GO201_1625","20160703","1"
"GO201_1625","20160704","1"
"GO201_1625","20160709","1"
"GO201_1625","20160710","1"
"GO201_1625","20160716","1"
"GO201_1625","20160717","1"
"GO201_1625","20160723","1"
"GO201_1625","20160724","1"
"GO201_1625","20160730","1"
"GO201_1625","20160731","1"
"GO201_1625","20160806","1"
"GO201_1625","20160807","1"
"GO201_1625","20160813","1"
"GO201_1625","20160814","1"
"GO201_1625","20160820","1"
"GO201_1625","20160821","1"
"GO201_1625","20160827","1"
"GO201_1625","20160828","1"
"GO201_1625","20160903","1"
"GO201_1625","20160904","1"
"GO201_1625","20160905","1"
"GO201_1626","20160528","1"
"GO201_1626","20160529","1"
"GO201_1626","20160604","1"
"GO201_1626","20160605","1"
"GO201_1626","20160611","1"
"GO201_1626","20160612","1"
"GO201_1626","20160618","1"
"GO201_1626","20160619","1"
"GO201_1626","20160625","1"
"GO201_1626","20160626","1"
"GO201_1626","20160702","1"
"GO201_1626","20160703","1"
"GO201_1626","20160709","1"
"GO201_1626","20160710","1"
"GO201_1626","20160716","1"
"GO201_1626","20160717","1"
"GO201_1626","20160723","1"
"GO201_1626","20160724","1"
"GO201_1626","20160730","1"
"GO201_1626","20160731","1"
"GO201_1626","20160806","1"
"GO201_1626","20160807","1"
"GO201_1626","20160813","1"
"GO201_1626","20160814","1"
"GO201_1626","20160820","1"
"GO201_1626","20160821","1"
"GO201_1626","20160827","1"
"GO201_1626","20160828","1"
"GO201_1626","20160903","1"
"GO201_1626","20160904","1"
"GO201_1627","20160529","1"
"GO201_1627","20160604","1"
"GO201_1627","20160611","1"
"GO201_1627","20160618","1"
"GO201_1627","20160625","1"
"GO201_1627","20160703","1"
"GO201_1627","20160709","1"
"GO201_1627","20160716","1"
"GO201_1627","20160723","1"
"GO201_1627","20160730","1"
"GO201_1627","20160806","1"
"GO201_1627","20160813","1"
"GO201_1627","20160820","1"
"GO201_1627","20160827","1"
"GO201_1627","20160904","1"
"GO201_1628","20160528","1"
"GO201_1628","20160529","1"
